Commodity Year,Commodity Name,Delivery Type Code,Delivery Type Name,Insurance Plan Abbrv,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2017,Alfalfa Seed,RBUP,Reinsured Buyup,APH,228,155,22,584,99,48496,Acres,0,71014714,4507367,2534522,8567054,0,0,0,0.06347,1.900678
2017,Alfalfa Seed,RBUP,Reinsured Buyup,SCOY,27,19,0,112,0,0,Acres,11551,2972892,583419,379228,0,0,0,0,0.196246,0
2017,Alfalfa Seed,RCAT,Reinsured Catastrophic,APH,37,12,0,16,0,3394,Acres,0,2118867,37145,37145,0,0,0,0,0.01753,0
2017,All Other Citrus Trees,RBUP,Reinsured Buyup,TDO,187,147,1,188,1,574632,Trees,0,19775807,414801,273669,2280,0,0,0,0.020975,0.005496
2017,All Other Citrus Trees,RCAT,Reinsured Catastrophic,TDO,120,103,0,103,0,954762,Trees,0,16862426,106812,106555,0,0,0,0,0.006334,0
2017,All Other Grapefruit,RBUP,Reinsured Buyup,APH,2,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,All Other Grapefruit,RCAT,Reinsured Catastrophic,APH,3,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
2017,Almonds,RBUP,Reinsured Buyup,APH,3392,3238,322,5570,385,485682,Acres,0,2073581439,89708814,52325294,15476318,0,0,0,0.043262,0.172517
2017,Almonds,RBUP,Reinsured Buyup,SCOY,21,21,0,31,0,0,Acres,2832,2811677,280166,182107,0,0,0,0,0.099643,0
2017,Almonds,RCAT,Reinsured Catastrophic,APH,705,664,3,825,3,271436,Acres,0,501811064,5490903,5482704,82588,0,0,0,0.010942,0.01504
2017,Annual Forage,RBUP,Reinsured Buyup,RAINF,4966,1007,902,2938,1448,479027,Acres,0,134080861,33860227,17513309,41066559,0,0,0,0.252535,1.212825
2017,Annual Forage,RCAT,Reinsured Catastrophic,RAINF,72,15,0,17,0,2939,Acres,0,188885,6768,6768,0,0,0,0,0.035831,0
2017,Apiculture,RBUP,Reinsured Buyup,RAINF,2320,1734,1594,9863,4436,853120,Colonies,0,115349328,25831428,13228278,21534195,0,0,0,0.22394,0.833643
2017,Apiculture,RBUP,Reinsured Buyup,VEGAT,4,1,1,30,3,1020,Colonies,0,122070,30593,15601,1673,0,0,0,0.250618,0.054685
2017,Apples,RBUP,Reinsured Buyup,APH,2192,2059,365,6473,680,146890,Acres,0,958109998,109449640,70141701,26625437,0,0,0,0.114234,0.243266
2017,Apples,RBUP,Reinsured Buyup,SCOY,6,6,0,7,0,0,Acres,200,278550,19197,12479,0,0,0,0,0.068917,0
2017,Apples,RCAT,Reinsured Catastrophic,APH,636,580,45,610,45,77778,Acres,0,322703393,10567748,10550919,2854706,0,0,0,0.032747,0.270133
2017,Avocado Trees,RBUP,Reinsured Buyup,TDO,105,91,0,136,0,358068,Trees,0,27621217,1079232,616144,0,0,0,0,0.039072,0
2017,Avocado Trees,RCAT,Reinsured Catastrophic,TDO,18,16,0,17,0,103941,Trees,0,3087032,31894,31894,0,0,0,0,0.010331,0
2017,Avocados,RBUP,Reinsured Buyup,APH,395,359,119,445,129,11838,Acres,0,44817917,4059140,2484847,8226725,0,0,0,0.090569,2.026716
2017,Avocados,RCAT,Reinsured Catastrophic,APH,604,544,117,566,119,22070,Acres,0,38240403,1494473,1486497,2391607,0,0,0,0.03908,1.600301
2017,Banana,RBUP,Reinsured Buyup,APH,2,1,0,1,0,4,Acres,0,30066,638,427,0,0,0,0,0.021219,0
2017,Banana,RCAT,Reinsured Catastrophic,APH,1,1,0,1,0,126,Acres,0,734246,3411,3411,0,0,0,0,0.004645,0
2017,Banana Tree,RCAT,Reinsured Catastrophic,TDO,1,0,0,0,0,0,Trees,0,0,0,0,0,0,0,0,0,0
2017,Barley,RBUP,Reinsured Buyup,RP,25793,2938,1216,4662,1761,632893,Acres,0,100152194,17844134,11576409,13701670,0,0,0,0.17817,0.767852
2017,Barley,RBUP,Reinsured Buyup,RPHPE,357,33,8,37,8,3009,Acres,0,499886,54430,35663,12092,0,0,0,0.108884,0.222156
2017,Barley,RBUP,Reinsured Buyup,SCOR,69,25,0,103,0,0,Acres,26853,627120,226228,147476,0,0,0,0,0.360741,0
2017,Barley,RBUP,Reinsured Buyup,SCOY,26,15,0,37,0,0,Acres,4329,154401,20176,13123,0,0,0,0,0.130672,0
2017,Barley,RBUP,Reinsured Buyup,YP,26277,3851,1124,7810,1747,878220,Acres,0,200216807,20944177,12514372,12908965,0,0,0,0.104607,0.616351
2017,Barley,RCAT,Reinsured Catastrophic,YP,2912,475,48,632,49,164741,Acres,0,13007995,345104,344800,167630,0,0,0,0.02653,0.485737
2017,Blueberries,RBUP,Reinsured Buyup,APH,642,578,342,944,543,28947,Acres,0,144488646,11690022,7217526,36330260,0,0,0,0.080906,3.1078
2017,Blueberries,RBUP,Reinsured Buyup,SCOY,3,3,0,8,0,0,Acres,805,1137060,28446,18489,0,0,0,0,0.025017,0
2017,Blueberries,RCAT,Reinsured Catastrophic,APH,348,311,55,322,57,37022,Acres,0,70675359,1920903,1898640,3027662,0,0,0,0.027179,1.576166
2017,Buckwheat,RBUP,Reinsured Buyup,APH,399,32,3,81,5,7978,Acres,0,1357422,257737,155835,54959,0,0,0,0.189872,0.213236
2017,Buckwheat,RCAT,Reinsured Catastrophic,APH,21,5,0,5,0,671,Acres,0,41846,3850,3850,0,0,0,0,0.092004,0
2017,Burley Tobacco,RBUP,Reinsured Buyup,APH,6005,2606,319,5741,480,69717,Acres,0,181768679,35874679,19878824,11370647,0,0,0,0.197364,0.316954
2017,Burley Tobacco,RBUP,Reinsured Buyup,SCOY,9,5,0,27,0,0,Acres,287,122170,21011,13659,0,0,0,0,0.171981,0
2017,Burley Tobacco,RCAT,Reinsured Catastrophic,APH,73,16,1,24,1,249,Acres,0,278886,19939,19939,536,0,0,0,0.071495,0.026881
2017,Cabbage,RBUP,Reinsured Buyup,APH,164,80,18,277,35,9417,Acres,0,25123748,1982583,1210084,960298,0,0,0,0.078912,0.484367
2017,Cabbage,RCAT,Reinsured Catastrophic,APH,58,28,4,64,10,5366,Acres,0,6934966,219963,219963,273400,0,0,0,0.031717,1.242936
2017,Camelina,RBUP,Reinsured Buyup,APH,67,2,0,2,0,239,Acres,0,15919,3323,2294,0,0,0,0,0.208744,0
2017,Canola,RBUP,Reinsured Buyup,RP,17315,5593,2547,11271,4107,1754398,Acres,0,359604426,74684676,49805411,48117381,0,0,0,0.207685,0.644273
2017,Canola,RBUP,Reinsured Buyup,RPHPE,31,6,3,14,8,3419,Acres,0,691140,133750,90982,63946,0,0,0,0.19352,0.4781
2017,Canola,RBUP,Reinsured Buyup,SCOR,191,143,0,632,0,0,Acres,74773,3429233,569743,372988,0,0,0,0,0.166142,0
2017,Canola,RBUP,Reinsured Buyup,YP,5549,945,416,1786,725,214406,Acres,0,34937464,5352783,3354221,6708541,0,0,0,0.15321,1.25328
2017,Canola,RCAT,Reinsured Catastrophic,YP,304,51,6,68,6,17383,Acres,0,1213837,99044,99044,61595,0,0,0,0.081595,0.621895
2017,Carambola Trees,RBUP,Reinsured Buyup,TDO,5,5,0,8,0,18423,Trees,0,1723708,64796,36291,0,0,0,0,0.037591,0
2017,Carambola Trees,RCAT,Reinsured Catastrophic,TDO,3,2,0,2,0,3076,Trees,0,109967,622,622,0,0,0,0,0.005656,0
2017,Cattle,RBUP,Reinsured Buyup,LGM,31,19,3,38,3,13012,Head,0,17432127,682741,0,11384,0,0,0,0.039165,0.016673
2017,Cherries,RBUP,Reinsured Buyup,ARH,2201,1994,540,3420,685,83495,Acres,0,484226345,55924045,31659239,31626472,0,0,0,0.115491,0.565525
2017,Chile Peppers,RBUP,Reinsured Buyup,DOL,13,2,0,3,0,306,Acres,0,241817,17861,10008,0,0,0,0,0.073861,0
2017,Chile Peppers,RCAT,Reinsured Catastrophic,DOL,40,12,0,14,0,1431,Acres,0,497461,11569,11569,0,0,0,0,0.023256,0
2017,Cigar Binder Tobacco,RBUP,Reinsured Buyup,APH,226,160,30,344,50,2891,Acres,0,18534721,5093939,3095844,2160614,0,0,0,0.274832,0.424153
2017,Cigar Binder Tobacco,RCAT,Reinsured Catastrophic,APH,6,5,0,11,0,183,Acres,0,565032,120084,120084,0,0,0,0,0.212526,0
2017,Cigar Filler Tobacco,RBUP,Reinsured Buyup,APH,11,9,0,11,0,108,Acres,0,290956,4514,2217,0,0,0,0,0.015514,0
2017,Cigar Wrapper Tobacco,RBUP,Reinsured Buyup,APH,15,4,1,10,1,76,Acres,0,1386754,178840,102088,286125,0,0,0,0.128963,1.599893
2017,Cigar Wrapper Tobacco,RCAT,Reinsured Catastrophic,APH,2,0,0,0,0,0,Acres,0,0,0,0,0,0,0,0,0,0
