Commodity Year,Commodity Name,Insurance Plan,State Abbrv,County Code,County Name,Cov. Level Percent,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2007,All Other Commodities,Rainfall Index,CO,005,Arapahoe,0.7500,1,1,1,2,1,680,Acres,0,4216,361,231,335,0,0,0,0.085626,0.927977
2007,All Other Commodities,Rainfall Index,CO,005,Arapahoe,0.8500,1,1,1,5,2,8240,Acres,0,86767,12557,7408,5207,0,0,0,0.14472,0.414669
2007,All Other Commodities,Rainfall Index,CO,005,Arapahoe,0.9000,1,1,1,2,1,480,Acres,0,5352,741,408,792,0,0,0,0.138452,1.068825
2007,All Other Commodities,Rainfall Index,CO,025,Crowley,0.7500,1,1,1,6,2,16000,Acres,0,143520,23604,15107,23129,0,0,0,0.164464,0.979876
2007,All Other Commodities,Rainfall Index,CO,025,Crowley,0.8500,1,1,1,5,2,16327,Acres,0,110528,20612,12161,11137,0,0,0,0.186486,0.540316
2007,All Other Commodities,Rainfall Index,CO,025,Crowley,0.9000,2,2,1,8,3,23026,Acres,0,133269,25284,13905,292,0,0,0,0.189721,0.011548
2007,All Other Commodities,Rainfall Index,CO,041,El Paso,0.7000,1,1,1,2,1,54,Acres,0,8488,350,224,764,0,0,0,0.041234,2.182857
2007,All Other Commodities,Rainfall Index,CO,041,El Paso,0.8000,1,1,1,2,1,480,Acres,0,3172,234,138,449,0,0,0,0.07377,1.918803
2007,All Other Commodities,Rainfall Index,CO,041,El Paso,0.8500,1,1,1,3,1,1281,Acres,0,8088,855,504,394,0,0,0,0.105712,0.460818
2007,All Other Commodities,Rainfall Index,CO,041,El Paso,0.9000,3,3,3,8,3,5579,Acres,0,53877,8247,4536,4791,0,0,0,0.15307,0.580938
2007,All Other Commodities,Rainfall Index,ID,065,Madison,0.7000,3,3,3,6,3,348,Acres,0,53476,7383,4725,15651,0,0,0,0.138061,2.119869
2007,All Other Commodities,Rainfall Index,PA,005,Armstrong,0.7500,2,2,0,4,0,75,Acres,0,2301,101,66,0,0,0,0,0.043893,0
2007,All Other Commodities,Rainfall Index,PA,005,Armstrong,0.9000,1,1,1,1,1,20,Acres,0,8362,668,368,376,0,0,0,0.079885,0.562874
2007,All Other Commodities,Rainfall Index,PA,031,Clarion,0.7500,1,1,1,2,2,110,Acres,0,25548,971,622,1577,0,0,0,0.038006,1.624098
2007,All Other Commodities,Rainfall Index,PA,033,Clearfield,0.8000,1,1,0,1,0,8,Acres,0,1982,112,66,0,0,0,0,0.056508,0
2007,All Other Commodities,Rainfall Index,PA,033,Clearfield,0.9000,1,1,0,1,0,10,Acres,0,4180,413,227,0,0,0,0,0.098803,0
2007,All Other Commodities,Rainfall Index,PA,051,Fayette,0.9000,1,1,0,2,0,80,Acres,0,4388,412,226,0,0,0,0,0.093892,0
2007,All Other Commodities,Rainfall Index,PA,059,Greene,0.7000,1,1,1,4,1,134,Acres,0,11909,376,240,100,0,0,0,0.031572,0.265957
2007,All Other Commodities,Rainfall Index,PA,059,Greene,0.9000,1,1,0,2,0,300,Acres,0,10972,1049,577,0,0,0,0,0.095606,0
2007,All Other Commodities,Rainfall Index,PA,063,Indiana,0.9000,3,3,3,3,3,50,Acres,0,17274,1401,770,940,0,0,0,0.081104,0.670949
2007,All Other Commodities,Rainfall Index,PA,073,Lawrence,0.7500,1,1,1,4,2,180,Acres,0,23664,937,599,130,0,0,0,0.039596,0.13874
2007,All Other Commodities,Rainfall Index,PA,073,Lawrence,0.9000,2,2,1,8,2,208,Acres,0,60592,5991,3294,883,0,0,0,0.098874,0.147387
2007,All Other Commodities,Rainfall Index,PA,085,Mercer,0.7000,3,3,1,7,1,376,Acres,0,81289,1889,1208,1049,0,0,0,0.023238,0.55532
2007,All Other Commodities,Rainfall Index,PA,121,Venango,0.9000,3,3,3,10,4,192,Acres,0,37752,3439,1892,3292,0,0,0,0.091094,0.957255
2007,All Other Commodities,Rainfall Index,PA,125,Washington,0.8000,1,1,1,2,1,380,Acres,0,33510,1885,1112,680,0,0,0,0.056251,0.360742
2007,All Other Commodities,Rainfall Index,PA,125,Washington,0.9000,1,1,0,1,0,40,Acres,0,2194,220,121,0,0,0,0,0.100273,0
